:ID,identifier:string,name:string,:LABEL
DB00795,DB00795,"Sulfasalazine",Compound
N0000000151,N0000000151,"Histamine H2 Receptor Antagonists",Pharmacologic Class
100996420,100996420,"DNM1P50",Gene
DB04898,DB04898,"Ximelagatran",Compound
C0278151,C0278151,"Facial spasm",Side Effect
56136,56136,"PCDHA13",Gene
DB01361,DB01361,"Troleandomycin",Compound
C0013928,C0013928,"Fat embolism",Side Effect
5518,5518,"PPP2R1A",Gene
128859,128859,"BPIFB6",Gene
GO:0005929,GO:0005929,"cilium",Cellular Component
C0234925,C0234925,"Oily skin",Side Effect
DB00428,DB00428,"Streptozocin",Compound
GO:0070704,GO:0070704,"sterol desaturase activity",Molecular Function
23519,23519,"ANP32D",Gene
139105,139105,"BEND2",Gene
GO:0097067,GO:0097067,"cellular response to thyroid hormone stimulus",Biological Process
N0000191275,N0000191275,"UGT1A3 Inhibitors",Pharmacologic Class
85453,85453,"TSPYL5",Gene
GO:0003945,GO:0003945,"N-acetyllactosamine synthase activity",Molecular Function
GO:0035999,GO:0035999,"tetrahydrofolate interconversion",Biological Process
PC7_3421,PC7_3421,"EPHB-mediated forward signaling",Pathway
GO:0031000,GO:0031000,"response to caffeine",Biological Process
6340,6340,"SCNN1G",Gene
GO:0005547,GO:0005547,"phosphatidylinositol-3,4,5-trisphosphate binding",Molecular Function
GO:0030663,GO:0030663,"COPI-coated vesicle membrane",Cellular Component
51321,51321,"AMZ2",Gene
C0152196,C0152196,"Spasm of accommodation",Side Effect
GO:1990635,GO:1990635,"proximal dendrite",Cellular Component
GO:0008631,GO:0008631,"intrinsic apoptotic signaling pathway in response to oxidative stress",Biological Process
GO:0045179,GO:0045179,"apical cortex",Cellular Component
GO:0060129,GO:0060129,"thyroid-stimulating hormone-secreting cell differentiation",Biological Process
DB01046,DB01046,"Lubiprostone",Compound
404037,404037,"HAPLN4",Gene
3090,3090,"HIC1",Gene
388591,388591,"RNF207",Gene
79917,79917,"MAGIX",Gene
391003,391003,"LOC391003",Gene
GO:1900217,GO:1900217,"regulation of apoptotic process involved in metanephric nephron tubule development",Biological Process
5954,5954,"RCN1",Gene
GO:0051429,GO:0051429,"corticotropin-releasing hormone receptor binding",Molecular Function
PC7_4783,PC7_4783,"Internalization of ErbB1",Pathway
GO:0036273,GO:0036273,"response to statin",Biological Process
9875,9875,"URB1",Gene
C0020580,C0020580,"Hypoaesthesia",Side Effect
389874,389874,"ZCCHC13",Gene
338811,338811,"FAM19A2",Gene
GO:0038111,GO:0038111,"interleukin-7-mediated signaling pathway",Biological Process
GO:0000033,GO:0000033,"alpha-1,3-mannosyltransferase activity",Molecular Function
GO:1904948,GO:1904948,"midbrain dopaminergic neuron differentiation",Biological Process
GO:0006778,GO:0006778,"porphyrin-containing compound metabolic process",Biological Process
C0858786,C0858786,"Toxic symptom",Side Effect
GO:0000479,GO:0000479,"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",Biological Process
51773,51773,"RSF1",Gene
GO:1900625,GO:1900625,"positive regulation of monocyte aggregation",Biological Process
1139,1139,"CHRNA7",Gene
89777,89777,"SERPINB12",Gene
GO:0007406,GO:0007406,"negative regulation of neuroblast proliferation",Biological Process
GO:0060043,GO:0060043,"regulation of cardiac muscle cell proliferation",Biological Process
GO:0017183,GO:0017183,"peptidyl-diphthamide biosynthetic process from peptidyl-histidine",Biological Process
