doid_id	doid_name	entrez_gene_id	gene_symbol	license	sources
DOID:2531	Hematologic cancer	25	ABL1		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	27	ABL2	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	54	ACP5	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	113	ADCY7	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	142	PARP1		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	207	AKT1	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	213	ALB	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	238	ALK	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	240	ALOX5	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	249	ALPL	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	250	ALPP	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	251	ALPPL2	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	290	ANPEP	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	302	ANXA2	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	307	ANXA4	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	308	ANXA5		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	309	ANXA6	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	329	BIRC2		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	330	BIRC3		DISEASES|DisGeNET
DOID:2531	Hematologic cancer	331	XIAP	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	332	BIRC5	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	355	FAS		DISEASES|DisGeNET|GWAS Catalog
DOID:2531	Hematologic cancer	356	FASLG	CC BY 4.0	DISEASES
DOID:2531	Hematologic cancer	366	AQP9	ODbL 1.0	DisGeNET
DOID:2531	Hematologic cancer	367	AR	ODbL 1.0	DisGeNET
