doid	cui
DOID:0001816	C0018923
DOID:0001816	C0854893
DOID:0002116	C0033999
DOID:0014667	C0025517
DOID:0050004	C0578661
DOID:0050117	C0001485
DOID:0050118	C0014053
DOID:0050120	C0024291
DOID:0050127	C0149512
DOID:0050133	C0031898
DOID:0050133	C2980104
DOID:0050144	C0022521
DOID:0050145	C0396023
DOID:0050148	C0155811
DOID:0050148	C0155837
DOID:0050152	C0032290
DOID:0050156	C1800706
DOID:0050157	C0242770
DOID:0050158	C0238378
DOID:0050161	C0029581
DOID:0050166	C0152828
DOID:0050175	C0014054
DOID:0050214	C0022972
DOID:0050328	C0010308
DOID:0050328	C0342200
DOID:0050335	C1842073
DOID:0050424	C0032580
DOID:0050424	C2713442
DOID:0050424	C2713443
DOID:0050425	C0035258
DOID:0050426	C0014518
DOID:0050426	C0038325
DOID:0050426	C1274933
DOID:0050426	C3658301
DOID:0050426	C3658302
DOID:0050427	C0043346
DOID:0050428	C0022584
DOID:0050428	C3489771
DOID:0050429	C0085106
DOID:0050430	C0025268
DOID:0050431	C0349788
DOID:0050432	C0236792
DOID:0050433	C0206042
DOID:0050434	C1563715
DOID:0050436	C0524582
DOID:0050437	C0878677
DOID:0050438	C0950122
DOID:0050439	C0271097
DOID:0050439	C1568248
DOID:0050439	C1568249
DOID:0050439	C2931205
DOID:0050440	C0271694
DOID:0050440	C1720859
DOID:0050440	C1720860
DOID:0050440	C1720861
DOID:0050441	C0268263
DOID:0050441	C1720864
DOID:0050444	C0282527
DOID:0050445	C0733682
DOID:0050445	C1845168
DOID:0050445	C3540852
DOID:0050448	C1721005
DOID:0050449	C0265334
DOID:0050449	C1706595
DOID:0050449	C1721007
DOID:0050450	C0268450
DOID:0050451	C1142166
DOID:0050451	C1721096
DOID:0050451	C1955837
DOID:0050452	C0342731
DOID:0050452	C0398691
DOID:0050452	C1959626
DOID:0050453	C0266463
DOID:0050453	C0266483
DOID:0050454	C1848213
DOID:0050454	C1868720
DOID:0050456	C0085568
DOID:0050457	C1384583
DOID:0050458	C0349639
DOID:0050459	C0085681
DOID:0050460	C0796117
DOID:0050460	C1956097
DOID:0050461	C0268225
