cui	drugbank_id
C0772394	DB00001
C0995188	DB00002
C1135662	DB00003
C0717670	DB00004
C0255813	DB00005
C0717758	DB00005
C1447786	DB00005
C0168273	DB00006
C0210057	DB00006
C0085272	DB00007
C0391001	DB00008
C0032143	DB00009
C0142046	DB00010
C0699817	DB00011
C2937361	DB00011
C0937950	DB00012
C0042071	DB00013
C0120107	DB00014
C0149473	DB00014
C0700476	DB00014
C0256103	DB00015
C0014822	DB00016
C0357126	DB00016
C0357131	DB00016
C0376541	DB00016
C1872824	DB00016
C1997870	DB00016
C2746991	DB00016
C4256161	DB00016
C4256162	DB00016
C4256163	DB00016
C0073994	DB00017
C1174910	DB00017
C1621234	DB00018
C1136535	DB00019
C0216231	DB00020
C0036534	DB00021
C0796545	DB00022
C0003993	DB00023
C1269691	DB00023
C0040160	DB00024
C2587204	DB00024
C2732002	DB00025
C0245109	DB00026
C0018157	DB00027
C0018160	DB00027
C0018164	DB00027
C0018165	DB00027
C0969638	DB00027
C0085297	DB00028
C0358321	DB00028
C2702333	DB00028
C0078956	DB00029
C0021641	DB00030
C0795635	DB00030
C1446598	DB00030
C1695970	DB00030
C0872913	DB00031
C0025326	DB00032
C0021741	DB00033
C1579322	DB00033
C0021734	DB00034
C4256158	DB00034
C0011701	DB00035
C1330542	DB00035
C2603382	DB00035
C0015505	DB00036
C0534191	DB00036
C0795575	DB00036
C0537670	DB00038
C0677829	DB00039
C0017687	DB00040
C0772088	DB00040
C0876232	DB00040
C4256157	DB00040
C0218986	DB00041
C0006051	DB00042
C2719430	DB00042
C0966225	DB00043
C0065261	DB00044
C1271607	DB00044
C4255550	DB00045
C0293359	DB00046
C0982221	DB00046
C0907402	DB00047
C0009053	DB00048
C0162745	DB00048
C0937932	DB00049
C0209366	DB00050
C1122087	DB00051
C0169964	DB00052
C0291140	DB00053
C0288672	DB00054
C1170000	DB00055
C1533699	DB00056
C0209389	DB00057
C0002191	DB00058
C0795657	DB00058
C0071568	DB00059
C0254119	DB00060
C0982234	DB00060
C0164674	DB00061
C0036773	DB00062
C0304925	DB00062
C2955472	DB00062
C0253563	DB00063
C0950902	DB00063
C4256156	DB00063
C0666743	DB00065
C0060787	DB00066
C0724588	DB00066
C0733758	DB00066
C1268876	DB00066
C2224211	DB00066
C3266859	DB00066
C4301617	DB00066
C4490581	DB00066
C1705480	DB00067
C0244713	DB00068
C0244714	DB00068
C0164613	DB00069
C0020197	DB00070
C0083996	DB00070
C1577331	DB00070
C0724601	DB00071
C0770206	DB00071
C0728747	DB00072
C0393022	DB00073
C0676831	DB00074
C0085379	DB00075
C3652663	DB00076
C4083129	DB00076
C0877880	DB00078
C1272713	DB00078
C4256155	DB00078
C0057144	DB00080
C0879399	DB00081
C0913469	DB00082
C0006050	DB00083
C2719424	DB00083
C2719767	DB00083
C2930113	DB00083
C0030304	DB00085
C0770343	DB00085
C0038418	DB00086
C0383429	DB00087
C0102139	DB00088
C0529572	DB00089
