cui	hgnc_id	symbol	entrez_id
C0008288	HGNC:20365	CIPC	85457
C0017351	HGNC:5477	IGH	3492
C0026574	HGNC:7199	MOS	4342
C0026900	HGNC:7545	MYB	4602
C0035018	HGNC:9954	REL	5966
C0079414	HGNC:2701	DCC	1630
C0079419	HGNC:11998	TP53	7157
C0079471	HGNC:5173	HRAS	3265
C0080298	HGNC:11283	SRC	6714
C0085113	HGNC:7765	NF1	4763
C0085114	HGNC:7773	NF2	4771
C0085218	HGNC:9831	RAG1	5896
C0086661	HGNC:7553	MYC	4609
C0087140	HGNC:3796	FOS	2353
C0144382	HGNC:26640	ENDOV	284131
C0162508	HGNC:6204	JUN	3725
C0162804	HGNC:6935	MCC	4163
C0162832	HGNC:583	APC	324
C0242957	HGNC:3430	ERBB2	2064
C0242987	HGNC:11796	THRA	7067
C0242988	HGNC:11799	THRB	7068
C0249197	HGNC:1784	CDKN1A	1026
C0314619	HGNC:5853	IGL	3535
C0376515	HGNC:990	BCL2	596
C0376571	HGNC:1100	BRCA1	672
C0376622	HGNC:40	ABCB1	5243
C0380093	HGNC:6642	LMO2	4005
C0473780	HGNC:15	NATP	11
C0524890	HGNC:12027	TRA	6955
C0524891	HGNC:12155	TRB	6957
C0524892	HGNC:12271	TRG	6965
C0524893	HGNC:12252	TRD	6964
C0525037	HGNC:1787	CDKN2A	1029
C0537026	HGNC:12530	UGT1A1	54658
C0596123	HGNC:348	AHR	196
C0598034	HGNC:1101	BRCA2	675
C0599295	HGNC:3446	ERG	2078
C0677907	HGNC:6801	MAGEA3	4102
C0694872	HGNC:1748	CDH1	999
C0694873	HGNC:1773	CDK4	1019
C0694878	HGNC:3512	EXT1	2131
C0694879	HGNC:3513	EXT2	2132
C0694883	HGNC:11389	STK11	6794
C0694884	HGNC:7010	MEN1	4221
C0694888	HGNC:9588	PTEN	5728
C0694889	HGNC:9884	RB1	5925
C0694890	HGNC:9967	RET	5979
C0694891	HGNC:6770	SMAD4	4089
C0694894	HGNC:12362	TSC1	7248
C0694895	HGNC:12363	TSC2	7249
C0694897	HGNC:12687	VHL	7428
