:ID,identifier:string,name:string,:LABEL
9247,9247,"GCM2",Gene
GO:0021987,GO:0021987,"cerebral cortex development",Biological Process
GO:0032414,GO:0032414,"positive regulation of ion transmembrane transporter activity",Biological Process
7169,7169,"TPM2",Gene
C0403639,C0403639,"Chemical cystitis",Side Effect
ORPHA:520,ORPHA:520,"Acute promyelocytic leukemia",Disease
100128496,100128496,"C20orf78",Gene
GO:0017196,GO:0017196,"N-terminal peptidyl-methionine acetylation",Biological Process
GO:0046329,GO:0046329,"negative regulation of JNK cascade",Biological Process
441061,441061,"MARCH11",Gene
59283,59283,"CACNG8",Gene
GO:0031362,GO:0031362,"anchored component of external side of plasma membrane",Cellular Component
C0015624,C0015624,"Fanconi syndrome",Side Effect
ORPHA:178330,ORPHA:178330,"Heinz body anemia",Disease
GO:0048633,GO:0048633,"positive regulation of skeletal muscle tissue growth",Biological Process
GO:1904294,GO:1904294,"positive regulation of ERAD pathway",Biological Process
284001,284001,"CCDC57",Gene
GO:0001661,GO:0001661,"conditioned taste aversion",Biological Process
DB06218,DB06218,"Lacosamide",Compound
GO:1902176,GO:1902176,"negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway",Biological Process
GO:0044827,GO:0044827,"modulation by host of viral genome replication",Biological Process
HP:0010469,HP:0010469,"Absent testis",Symptom
GO:0016137,GO:0016137,"glycoside metabolic process",Biological Process
ORPHA:2255,ORPHA:2255,"Pancreatic hypoplasia-diabetes-congenital heart disease syndrome",Disease
404734,404734,"ANKHD1-EIF4EBP3",Gene
ORPHA:1243,ORPHA:1243,"Best vitelliform macular dystrophy",Disease
54546,54546,"RNF186",Gene
GO:0015923,GO:0015923,"mannosidase activity",Molecular Function
C0085628,C0085628,"Stupor",Side Effect
132320,132320,"SCLT1",Gene
8795,8795,"TNFRSF10B",Gene
ORPHA:1132,ORPHA:1132,"Aortic arch defects",Disease
C0221512,C0221512,"Stomach ache",Side Effect
GO:0030305,GO:0030305,"heparanase activity",Molecular Function
100130519,100130519,"TMEM221",Gene
654346,654346,"LGALS9C",Gene
6781,6781,"STC1",Gene
D015325,D015325,"Pyruvate Dehydrogenase Complex Deficiency Disease",Symptom
149483,149483,"CCDC17",Gene
25950,25950,"RWDD3",Gene
C1112573,C1112573,"Delayed orgasm",Side Effect
GO:0004955,GO:0004955,"prostaglandin receptor activity",Molecular Function
84307,84307,"ZNF397",Gene
27324,27324,"TOX3",Gene
51092,51092,"SIDT2",Gene
GO:1903670,GO:1903670,"regulation of sprouting angiogenesis",Biological Process
729461,729461,"LOC729461",Gene
HP:0003417,HP:0003417,"Coronal cleft vertebrae",Symptom
GO:0006103,GO:0006103,"2-oxoglutarate metabolic process",Biological Process
283869,283869,"NPW",Gene
HP:0100760,HP:0100760,"Clubbing of toes",Symptom
GO:0070243,GO:0070243,"regulation of thymocyte apoptotic process",Biological Process
83461,83461,"CDCA3",Gene
GO:0060527,GO:0060527,"prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis",Biological Process
GO:0045601,GO:0045601,"regulation of endothelial cell differentiation",Biological Process
285349,285349,"ZNF660",Gene
10810,10810,"WASF3",Gene
ORPHA:3157,ORPHA:3157,"Septo-optic dysplasia spectrum",Disease
C0948824,C0948824,"Haemorrhagic anaemia",Side Effect
604,604,"BCL6",Gene
51230,51230,"PHF20",Gene
101929983,101929983,"LOC101929983",Gene
GO:0045046,GO:0045046,"protein import into peroxisome membrane",Biological Process
6585,6585,"SLIT1",Gene
10220,10220,"GDF11",Gene
GO:0032613,GO:0032613,"interleukin-10 production",Biological Process
