uid	:ID	identifier:string	name:string	:LABEL
0	9247	9247	GCM2	Gene
1	GO:0021987	GO:0021987	cerebral cortex development	Biological Process
2	GO:0032414	GO:0032414	positive regulation of ion transmembrane transporter activity	Biological Process
3	7169	7169	TPM2	Gene
4	C0403639	C0403639	Chemical cystitis	Side Effect
5	ORPHA:520	ORPHA:520	Acute promyelocytic leukemia	Disease
6	100128496	100128496	C20orf78	Gene
7	GO:0017196	GO:0017196	N-terminal peptidyl-methionine acetylation	Biological Process
8	GO:0046329	GO:0046329	negative regulation of JNK cascade	Biological Process
9	441061	441061	MARCH11	Gene
10	59283	59283	CACNG8	Gene
11	GO:0031362	GO:0031362	anchored component of external side of plasma membrane	Cellular Component
12	C0015624	C0015624	Fanconi syndrome	Side Effect
13	ORPHA:178330	ORPHA:178330	Heinz body anemia	Disease
14	GO:0048633	GO:0048633	positive regulation of skeletal muscle tissue growth	Biological Process
15	GO:1904294	GO:1904294	positive regulation of ERAD pathway	Biological Process
16	284001	284001	CCDC57	Gene
17	GO:0001661	GO:0001661	conditioned taste aversion	Biological Process
18	DB06218	DB06218	Lacosamide	Compound
19	GO:1902176	GO:1902176	negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway	Biological Process
20	GO:0044827	GO:0044827	modulation by host of viral genome replication	Biological Process
21	HP:0010469	HP:0010469	Absent testis	Symptom
22	GO:0016137	GO:0016137	glycoside metabolic process	Biological Process
23	ORPHA:2255	ORPHA:2255	Pancreatic hypoplasia-diabetes-congenital heart disease syndrome	Disease
24	404734	404734	ANKHD1-EIF4EBP3	Gene
25	ORPHA:1243	ORPHA:1243	Best vitelliform macular dystrophy	Disease
26	54546	54546	RNF186	Gene
27	GO:0015923	GO:0015923	mannosidase activity	Molecular Function
28	C0085628	C0085628	Stupor	Side Effect
29	132320	132320	SCLT1	Gene
30	8795	8795	TNFRSF10B	Gene
31	ORPHA:1132	ORPHA:1132	Aortic arch defects	Disease
32	C0221512	C0221512	Stomach ache	Side Effect
33	GO:0030305	GO:0030305	heparanase activity	Molecular Function
34	100130519	100130519	TMEM221	Gene
35	654346	654346	LGALS9C	Gene
36	6781	6781	STC1	Gene
37	D015325	D015325	Pyruvate Dehydrogenase Complex Deficiency Disease	Symptom
38	149483	149483	CCDC17	Gene
39	25950	25950	RWDD3	Gene
40	C1112573	C1112573	Delayed orgasm	Side Effect
41	GO:0004955	GO:0004955	prostaglandin receptor activity	Molecular Function
42	84307	84307	ZNF397	Gene
43	27324	27324	TOX3	Gene
44	51092	51092	SIDT2	Gene
45	GO:1903670	GO:1903670	regulation of sprouting angiogenesis	Biological Process
46	729461	729461	LOC729461	Gene
47	HP:0003417	HP:0003417	Coronal cleft vertebrae	Symptom
48	GO:0006103	GO:0006103	2-oxoglutarate metabolic process	Biological Process
49	283869	283869	NPW	Gene
50	HP:0100760	HP:0100760	Clubbing of toes	Symptom
51	GO:0070243	GO:0070243	regulation of thymocyte apoptotic process	Biological Process
52	83461	83461	CDCA3	Gene
53	GO:0060527	GO:0060527	prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis	Biological Process
54	GO:0045601	GO:0045601	regulation of endothelial cell differentiation	Biological Process
55	285349	285349	ZNF660	Gene
56	10810	10810	WASF3	Gene
57	ORPHA:3157	ORPHA:3157	Septo-optic dysplasia spectrum	Disease
58	C0948824	C0948824	Haemorrhagic anaemia	Side Effect
59	604	604	BCL6	Gene
60	51230	51230	PHF20	Gene
61	101929983	101929983	LOC101929983	Gene
62	GO:0045046	GO:0045046	protein import into peroxisome membrane	Biological Process
63	6585	6585	SLIT1	Gene
64	10220	10220	GDF11	Gene
65	GO:0032613	GO:0032613	interleukin-10 production	Biological Process
66	GO:0035412	GO:0035412	regulation of catenin import into nucleus	Biological Process
67	84759	84759	PCGF1	Gene
68	GO:0072048	GO:0072048	renal system pattern specification	Biological Process
69	GO:0070100	GO:0070100	negative regulation of chemokine-mediated signaling pathway	Biological Process
70	50640	50640	PNPLA8	Gene
71	ORPHA:261349	ORPHA:261349	2p15p16.1 microdeletion syndrome	Disease
72	GO:0055062	GO:0055062	phosphate ion homeostasis	Biological Process
73	10982	10982	MAPRE2	Gene
74	400591	400591	C17orf102	Gene
75	55024	55024	BANK1	Gene
76	HP:0000048	HP:0000048	Bifid scrotum	Symptom
77	GO:0019433	GO:0019433	triglyceride catabolic process	Biological Process
78	DB04946	DB04946	Iloperidone	Compound
79	ORPHA:276244	ORPHA:276244	Machado-Joseph disease type 3	Disease
80	124637	124637	CYB5D1	Gene
81	105369237	105369237	LOC105369237	Gene
82	2563	2563	GABRD	Gene
83	GO:2001274	GO:2001274	negative regulation of glucose import in response to insulin stimulus	Biological Process
84	408	408	ARRB1	Gene
85	GO:0031092	GO:0031092	platelet alpha granule membrane	Cellular Component
86	HP:0012245	HP:0012245	Sex reversal	Symptom
87	GO:1900748	GO:1900748	positive regulation of vascular endothelial growth factor signaling pathway	Biological Process
88	ORPHA:56	ORPHA:56	Alkaptonuria	Disease
89	GO:0030121	GO:0030121	AP-1 adaptor complex	Cellular Component
90	2037	2037	EPB41L2	Gene
91	9512	9512	PMPCB	Gene
92	254187	254187	TSGA10IP	Gene
93	GO:0017158	GO:0017158	regulation of calcium ion-dependent exocytosis	Biological Process
94	84957	84957	RELT	Gene
95	1478	1478	CSTF2	Gene
96	23288	23288	IQCE	Gene
97	GO:0010643	GO:0010643	cell communication by chemical coupling	Biological Process
98	D003967	D003967	Diarrhea	Symptom
99	GO:0042595	GO:0042595	behavioral response to starvation	Biological Process
100	128372	128372	OR6N1	Gene
101	PC7_7787	PC7_7787	TCR signaling in naïve CD4+ T cells	Pathway
102	HP:0100840	HP:0100840	Aplasia/Hypoplasia of the eyebrow	Symptom
103	55657	55657	ZNF692	Gene
